id,is_iceberg
5941774d,0.0010079145
4023181e,0.015553653
b20200e4,0.02079603
e7f018bb,0.040275037
4371c8c3,0.99999654
a8d9b1fd,1.4901161e-07
29e7727e,0.3955124
92a51ffb,0.9963019
c769ac97,0.0004850626
aee0547d,0.0
565b28ac,4.1127205e-06
e04e9775,0.108270675
8e8161d1,1.3560057e-05
4cf4d256,0.063321054
139e5324,0.00010153651
f156976f,0.5981345
68a117cc,0.33486587
d9aa7a56,0.9999969
9005b143,0.27700788
5f6d3988,0.2335366
9ad70954,0.47609398
b9087b9e,0.37759307
a39a1427,0.9999981
82fbe8ed,0.66073436
1fae4879,0.0
6dd8f13d,0.82025135
bbad5958,0.18790615
54527583,0.9999999
be8fa29c,0.048345804
81a3328f,0.99581635
1a3c0ab3,0.0054162145
4deeeb8b,0.99999666
ac6d5632,1.0
472dadb5,1.0
96093f95,0.6361711
f5b4e3df,0.049449325
e01a3c92,0.8080325
001680af,0.07053104
8e639f33,0.16915455
a2c16612,0.667982
a6d76474,0.9998481
19c47684,0.9999981
015827b6,0.016907185
7df7f7ce,0.99998045
0bbf1a3f,0.9999994
636cfbb7,0.9922239
7370030a,0.9973866
43aa97ad,0.99978757
ba2b5e63,0.008578777
dfdd335b,0.9999995
e79b13dc,0.99906516
dc32b195,0.9999754
6d868590,0.63197434
75fa59aa,0.9999498
ffe50836,0.9998435
a7bfd784,0.9761573
b3d569e3,0.03513342
6c538c5b,0.33140385
5c7c15f4,1.0
0b745139,0.9995884
fd14608e,0.014307618
f0bc8305,0.24534065
a10ccb28,0.2100851
543304c7,0.0012803078
6c3a4078,8.940697e-08
9b73cc75,1.0
5c6c71b1,1.2755394e-05
09ee9186,1.0
207c35cf,0.99241024
153c813e,0.99999964
5605d58b,0.99985266
642ca396,0.0024157465
d32d72c0,0.018664002
16646a17,0.073762745
384074af,0.99999976
69bf1e8c,0.92340636
9e90a054,0.0030158758
89dbe7f7,0.9301543
dbd27d22,0.40559787
a2ea1561,0.09494761
d63402af,0.6331837
1ac8bb92,0.7832804
8beffca5,0.99994075
46741f3e,0.9997283
e5ee6aa7,0.3258775
5ecd892b,0.9999385
69892166,0.00077193975
2f725a81,0.01614225
810abfe4,0.999599
e6f973e6,0.038534492
c60a5c46,0.016154766
c42b9e08,0.9911938
c3f00c23,1.0
5307fdb8,0.9825704
3e4f005e,0.020638913
4a4cc2e0,0.9577385
9bdd88d1,2.9802322e-08
0d832bed,0.5096083
14a134fa,0.0008981526
78a41676,0.9999895
0bd4658e,0.99999917
4a311bb0,0.99999
f939c817,0.0017556846
956adc4d,0.9651694
f8a119f5,0.99955595
61faa1ad,0.99999976
6725eb3e,0.9999975
17b3a8fd,0.0009222925
49a88dfc,0.9539301
2d6ec645,0.0042428076
0d4d77ba,0.98260176
3ee672a2,0.9995764
738b41fd,0.06041324
f7fb320d,0.99999106
b42fad18,3.3080578e-06
4ab8b00a,0.9998178
f7870f2b,0.5470351
4978666a,0.9999999
f1b0d6c7,0.009280324
5642407f,0.009560704
36d4ff92,0.99399614
4139aba2,0.024042964
7585ce58,0.9999992
33e25984,0.7459485
ac46f3c9,0.36666957
fc34a5b8,0.9892664
85c36a8f,0.99999946
b2d8a426,0.9171382
13ec60d1,0.46740657
9d440f42,0.7545067
1c0a891e,0.0009869337
981c3bc3,0.99999976
295604f4,0.12814423
16ca16c3,0.94271004
b4dda837,0.12884793
88d088ef,0.24376896
1b4fa160,0.9999993
f371bd82,0.9923848
b130a0b7,0.13217258
ebf1de82,0.82697093
01e651c3,0.19503957
51b1fecc,0.9784939
fa635a31,0.013797462
97b7d789,0.99942756
2f598053,1.0
c0e3e148,0.9999973
cfa175a8,0.70019114
3d7e09d8,0.019076467
44a13d1b,0.9519576
c66b0948,0.008301258
976a6d64,0.16290373
8bbd8909,1.0
522890fd,0.032420874
f23a3b95,0.18871969
680039dc,0.015466303
93028e53,0.0012866855
22a16932,0.9999995
7d8126d2,0.94626737
ba2ecd75,0.0008840859
8071bdd7,0.99873364
96d5aeee,0.0
154be68f,0.86513495
d8c2bfe2,0.7352389
f76d47b0,0.0060245097
0e781ade,1.1920929e-07
13cf6060,8.940697e-08
cd99f710,0.004367143
d10005bb,0.116197646
3a31445f,0.9829402
3157202d,0.73860824
6ee64703,0.99995303
e5de8685,0.28534272
02cc70ba,0.3555748
50984a87,0.024330825
fa94957a,0.9750904
eab406b4,0.0012726784
3ad39398,0.9701029
9ecf3802,0.047217637
